English,Polish
a,A
ability,umiejetnosc
able,zdolny
about,o
above,powyzej
accept,zaakceptowac
according,wedlug
account,konto
across,przez
act,dzialac
action,dzialanie
activity,dzialalnosc
actually,Wlasciwie
add,dodac
address,adres
administration,administracja
admit,przyznawac 
adult,dorosly
affect,oddzialywac
after,Po
again,Ponownie
against,przeciwko
age,wiek
agency,agencja
agent,agent
ago,temu
agree,zgadzac sie
agreement,porozumienie
ahead,dalej
air,powietrze
all,Wszystko
allow,umozliwic
almost,prawie
alone,sam
along,przed siebie
already,juz
also,Rowniez
although,Chociaz
always,zawsze
American,amerykanski
among,wsrod
amount,kwota
analysis,analiza
and,I
animal,zwierze
another,inny
answer,odpowiedz
any,kazdy
anyone,ktokolwiek
anything,wszystko
appear,pojawic sie
apply,stosowac
approach,zblizac sie
area,obszar
argue,klocic sie 
arm,ramie
around,wokol
arrive,przyjechac
art,sztuka
article,artykul
artist,artysta
as,Jak
ask,zapytac
assume,przypuszczac
at,Na
attack,atak
attention,uwaga
attorney,adwokat
audience,publicznosc
author,autor
authority,autorytet
available,dostepny
avoid,unikac
away,z dala
baby,Dziecko
back,z powrotem
bad,zly
bag,torba
ball,pilka
bank,Bank
bar,bar
base,baza
be,Byc
beat,pokonac
beautiful,Piekny
because,poniewaz
become,stac sie
bed,lozko
before,zanim
begin,zaczynac
behavior,zachowanie
behind,za
believe,uwazac
benefit,korzysc
best,"to, co najlepsze"
better,lepsza
between,miedzy
beyond,poza
big,duzy
bill,rachunek
billion,miliard
bit,fragment
black,czarny
blood,krew
blue,niebieski
board,tablica
body,cialo
book,ksiazka
born,urodzic sie
both,Zarowno
box,skrzynka
boy,chlopak
break,przerwa
bring,przyniesc
brother,brat
budget,budzet
build,zbudowac
building,budynek
business,biznes
but,Ale
buy,kupic
by,przez
call,dzwonic
camera,kamera
campaign,kampania
can,Moc
cancer,rak
candidate,kandydat
capital,kapital
car,samochod
card,karta
care,opieka
career,kariera
carry,nosic
case,sprawa
catch,zlapac
cause,przyczyna
cell,komorka
center,Centrum
central,centralny
century,wiek
certain,niektorzy
certainly,z pewnoscia
chair,krzeslo
challenge,wyzwanie
chance,szansa
change,zmiana
character,postac
charge,oplata
check,sprawdzac
child,dziecko
choice,wybor
choose,wybierac
church,kosciol
citizen,obywatel
city,miasto
civil,cywilny
claim,prawo
class,klasa
clear,jasne
clearly,Wyraznie
close,zamknac
coach,trener
cold,zimno
collection,kolekcja
college,Szkola Wyzsza
color,kolor
come,przychodzic
commercial,handlowy
common,wspolny
community,wspolnota
company,firma
compare,porownywac
computer,komputer
concern,obawa
condition,stan
conference,konferencja
Congress,Kongres
consider,rozwazac
consumer,konsument
contain,zawierac
continue,Kontynuowac
control,kontrola
cost,koszt
could,mogl
country,kraj
couple,para
course,kurs
court,sad
cover,okladka
create,tworzyc
crime,przestepczosc
cultural,kulturalny
culture,kultura
cup,filizanka
current,aktualny
customer,klient
cut,ciecie
dark,ciemny
data,dane
daughter,corka
day,dzien
dead,martwy
deal,umowa
death,smierc
debate,debata
decade,dekada
decide,decydowac
decision,decyzja
deep,gleboko
defense,obrona
degree,stopien
Democrat,Demokrata
democratic,demokratyczny
describe,opisac
design,projekt
despite,pomimo
detail,Szczegol
determine,okreslic
develop,rozwijac
development,rozwoj
die,umierac
difference,roznica
different,rozny
difficult,trudny
dinner,kolacja
direction,kierunek
director,dyrektor
discover,odkryc
discuss,omowic
disease,choroba
do,Do
doctor,lekarz
dog,pies
door,drzwi
down,w dol
draw,rysowac
dream,marzenie
drive,prowadzic
drop,upuszczac
drug,lek
during,podczas
each,kazdy
early,wczesny
east,wschod
easy,latwy
eat,jesc
economic,gospodarczy
economy,gospodarka
edge,krawedz
education,Edukacja
effect,efekt
effort,wysilek
eight,osiem
either,albo
election,wybor
else,w przeciwnym razie
employee,pracownik
end,koniec
energy,energia
enjoy,Cieszyc sie
enough,wystarczajaco 
enter,Wchodzic
entire,caly
environment,srodowisko
environmental,srodowiskowy
especially,zwlaszcza
establish,tworzyc
even,nawet
evening,wieczor
event,wydarzenie
ever,kiedykolwiek
every,kazdy
everybody,wszyscy
everyone,wszyscy
everything,wszystko
evidence,dowod
exactly,Dokladnie
example,przyklad
executive,wykonawczy
exist,istniec
expect,oczekiwac
experience,doswiadczenie
expert,ekspert
explain,wyjasnic
eye,oko
face,twarz
fact,fakt
factor,czynnik
fail,poniesc porazke
fall,jesien
family,rodzina
far,daleko
fast,szybko
father,ojciec
fear,strach
federal,federalny
feel,czuc
feeling,uczucie
few,kilka
field,pole
figure,postac
fill,wypelnic
film,film
final,final
finally,Wreszcie
financial,budzetowy
find,znajdowac
fine,Cienki
finger,palec
finish,skonczyc
fire,ogien
firm,solidny
first,Pierwszy
fish,ryba
five,piec
floor,podloga
fly,latac
focus,centrum
follow,podazac
food,zywnosc
foot,stopa
for,Do
force,sila
foreign,zagraniczny
forget,zapominac
form,formularz
former,dawny
forward,do przodu
four,cztery
free,bezplatny
friend,przyjaciel
from,z
front,przod
full,pelny
fund,fundusz
future,przyszly
game,gra
garden,ogrod
gas,gaz
general,ogolny
generation,Pokolenie
get,Dostawac
girl,dziewczyna
give,dawac
glass,szklo
go,Isc
goal,bramka
good,Dobry
government,rzad
great,Swietnie
green,zielony
ground,grunt
group,Grupa
grow,rosnac
growth,wzrost
guess,zgadywac
gun,pistolet
guy,facet
hair,wlosy
half,polowa
hand,reka
hang,powiesic
happen,zdarzyc
happy,szczesliwy
hard,twardy
have,Posiadac
he,On
head,glowa
health,zdrowie
hear,slyszec
heart,serce
heat,cieplo
heavy,ciezki
help,pomoc
her,jej
here,Tutaj
herself,sie
high,wysoki
him,jego
himself,samego siebie
his,jego
history,historia
hit,uderzyc
hold,trzymac
home,dom
hope,miec nadzieje
hospital,szpital
hot,goracy
hotel,hotel
hour,godzina
house,dom
however,Jednakze
huge,ogromny
human,czlowiek
hundred,sto
husband,maz
I,I
idea,pomysl
identify,zidentyfikowac
if,Jesli
image,obraz
imagine,wyobrazac sobie
impact,uderzenie
important,wazny
improve,poprawic
in,W
include,wlaczac
including,w tym
increase,zwiekszyc
indeed,Rzeczywiscie
indicate,wskazac
individual,indywidualny
industry,przemysl
information,Informacja
inside,wewnatrz
instead,Zamiast
institution,instytucja
interest,odsetki
interesting,ciekawy
international,miedzynarodowy
interview,wywiad
into,do
investment,inwestycja
involve,zaangazowac
issue,wydanie
it,To
item,przedmiot
its,jego
itself,samo
job,stanowisko
join,dolaczyc
just,Tylko
keep,trzymac
key,klucz
kid,dziecko
kill,zabic
kind,Uprzejmy
kitchen,kuchnia
know,wiedziec
knowledge,wiedza
land,grunt
language,jezyk
large,duzy
last,ostatni
late,pozno
later,pozniej
laugh,smiech
law,prawo
lawyer,prawnik
lay,polozyc
lead,Olow
leader,lider
learn,uczyc sie
least,najmniej
leave,Zostawic
left,lewy
leg,noga
legal,prawny
less,mniej
let,pozwalac
letter,list
level,poziom
lie,klamstwo
life,zycie
light,swiatlo
like,tak jak
likely,prawdopodobnie
line,linia
list,lista
listen,Sluchac
little,maly
live,na zywo
local,lokalny
long,dlugi
look,Patrzec
lose,stracic
loss,strata
lot,dzialka
love,Milosc
low,Niski
machine,maszyna
